backend,ranks_str,seq_len,batch_size,max_rank_int,sum_rank_int,num_unique,median_ms,mean_ms,std_ms,bs_x_max_rank,sum_rank,tok_x_max_rank,tok_x_sum_rank,bs,max_rank,min_rank,mean_rank,total_tokens,var_rank,std_rank,rank_ratio,max_minus_min,bs_x_sum_rank,bs_x_mean_rank,bs_x_min_rank,sum_x_max_rank,tok_x_mean_rank,sqrt_bs_x_max_rank,sqrt_sum_rank,log1p_bs_x_max_rank,log1p_sum_rank,sum_rank_sq,max_rank_sq
csgmv,"[16, 16, 64, 64, 64, 64, 64, 64]",1.0,8,64,416,2,17.492591857910156,17.80688766479492,1.0516568760727594,512.0,416.0,512.0,416.0,8.0,64.0,16.0,52.0,8.0,432.0,20.784609690826528,4.0,48.0,3328.0,416.0,128.0,26624.0,416.0,22.627416997969522,20.396078054371138,6.240275845170769,6.0330862217988015,173056.0,4096.0
csgmv,"[16, 16, 16, 16, 16, 16, 64, 64]",1.0,8,64,224,2,17.564672470092773,18.056094360351562,1.1722792667746187,512.0,224.0,512.0,224.0,8.0,64.0,16.0,28.0,8.0,432.0,20.784609690826528,4.0,48.0,1792.0,224.0,128.0,14336.0,224.0,22.627416997969522,14.966629547095765,6.240275845170769,5.41610040220442,50176.0,4096.0
csgmv,"[32, 32, 32, 32, 64, 64, 64, 64]",1.0,8,64,384,2,17.580543518066406,18.00300350189209,1.1072941811216972,512.0,384.0,512.0,384.0,8.0,64.0,32.0,48.0,8.0,256.0,16.0,2.0,32.0,3072.0,384.0,256.0,24576.0,384.0,22.627416997969522,19.595917942265423,6.240275845170769,5.953243334287785,147456.0,4096.0
csgmv,"[32, 32, 64, 64, 64, 64, 64, 64]",1.0,8,64,448,2,17.61131191253662,18.025045223236084,1.2025460331589044,512.0,448.0,512.0,448.0,8.0,64.0,32.0,56.0,8.0,192.0,13.856406460551018,2.0,32.0,3584.0,448.0,256.0,28672.0,448.0,22.627416997969522,21.166010488516726,6.240275845170769,6.1070228877422545,200704.0,4096.0
csgmv,"[32, 32, 32, 32, 32, 32, 64, 64]",1.0,8,64,320,2,17.55136013031006,18.31434118270874,1.545810387563258,512.0,320.0,512.0,320.0,8.0,64.0,32.0,40.0,8.0,192.0,13.856406460551018,2.0,32.0,2560.0,320.0,256.0,20480.0,320.0,22.627416997969522,17.88854381999832,6.240275845170769,5.771441123130016,102400.0,4096.0
csgmv,"[8, 8, 8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 16, 16]",1.0,16,16,192,2,17.446911811828613,18.06765239715576,1.4786598696651088,256.0,192.0,256.0,192.0,16.0,16.0,8.0,12.0,16.0,16.0,4.0,2.0,8.0,3072.0,192.0,128.0,3072.0,192.0,16.0,13.856406460551018,5.54907608489522,5.262690188904886,36864.0,256.0
csgmv,"[8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",1.0,16,16,224,2,17.4202880859375,17.729865531921387,1.0131094290910623,256.0,224.0,256.0,224.0,16.0,16.0,8.0,14.0,16.0,12.0,3.4641016151377544,2.0,8.0,3584.0,224.0,128.0,3584.0,224.0,16.0,14.966629547095765,5.54907608489522,5.41610040220442,50176.0,256.0
csgmv,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 16, 16, 16, 16]",1.0,16,16,160,2,17.440448760986328,17.706639728546143,0.9198466215187763,256.0,160.0,256.0,160.0,16.0,16.0,8.0,10.0,16.0,12.0,3.4641016151377544,2.0,8.0,2560.0,160.0,128.0,2560.0,160.0,16.0,12.649110640673518,5.54907608489522,5.081404364984463,25600.0,256.0
csgmv,"[8, 8, 8, 8, 8, 8, 8, 8, 32, 32, 32, 32, 32, 32, 32, 32]",1.0,16,32,320,2,17.53551959991455,18.239944972991943,1.5814270802875834,512.0,320.0,512.0,320.0,16.0,32.0,8.0,20.0,16.0,144.0,12.0,4.0,24.0,5120.0,320.0,128.0,10240.0,320.0,22.627416997969522,17.88854381999832,6.240275845170769,5.771441123130016,102400.0,1024.0
csgmv,"[8, 8, 8, 8, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",1.0,16,32,416,2,17.531392097473145,18.200857906341554,1.4210988369996966,512.0,416.0,512.0,416.0,16.0,32.0,8.0,26.0,16.0,108.0,10.392304845413264,4.0,24.0,6656.0,416.0,128.0,13312.0,416.0,22.627416997969522,20.396078054371138,6.240275845170769,6.0330862217988015,173056.0,1024.0
csgmv,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 32, 32, 32, 32]",1.0,16,32,224,2,17.498623847961426,18.116820888519285,1.3561437281427684,512.0,224.0,512.0,224.0,16.0,32.0,8.0,14.0,16.0,108.0,10.392304845413264,4.0,24.0,3584.0,224.0,128.0,7168.0,224.0,22.627416997969522,14.966629547095765,6.240275845170769,5.41610040220442,50176.0,1024.0
csgmv,"[8, 8, 8, 8, 8, 8, 8, 8, 64, 64, 64, 64, 64, 64, 64, 64]",1.0,16,64,576,2,17.785856246948242,18.605609188079836,1.6074066988255238,1024.0,576.0,1024.0,576.0,16.0,64.0,8.0,36.0,16.0,784.0,28.0,8.0,56.0,9216.0,576.0,128.0,36864.0,576.0,32.0,24.0,6.932447891572509,6.3578422665081,331776.0,4096.0
csgmv,"[8, 8, 8, 8, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",1.0,16,64,800,2,17.815040588378906,18.946046657562256,1.7506343970707194,1024.0,800.0,1024.0,800.0,16.0,64.0,8.0,50.0,16.0,588.0,24.24871130596428,8.0,56.0,12800.0,800.0,128.0,51200.0,800.0,32.0,28.284271247461902,6.932447891572509,6.68586094706836,640000.0,4096.0
csgmv,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 64, 64, 64, 64]",1.0,16,64,352,2,17.75872039794922,18.486334209442138,1.5000057292840345,1024.0,352.0,1024.0,352.0,16.0,64.0,8.0,22.0,16.0,588.0,24.24871130596428,8.0,56.0,5632.0,352.0,128.0,22528.0,352.0,32.0,18.76166303929372,6.932447891572509,5.8664680569332965,123904.0,4096.0
csgmv,"[16, 16, 16, 16, 16, 16, 16, 16, 32, 32, 32, 32, 32, 32, 32, 32]",1.0,16,32,384,2,17.537023544311523,18.402265186309815,1.6833396157613705,512.0,384.0,512.0,384.0,16.0,32.0,16.0,24.0,16.0,64.0,8.0,2.0,16.0,6144.0,384.0,256.0,12288.0,384.0,22.627416997969522,19.595917942265423,6.240275845170769,5.953243334287785,147456.0,1024.0
csgmv,"[16, 16, 16, 16, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",1.0,16,32,448,2,17.569791793823242,18.108920288085937,1.4034172708521637,512.0,448.0,512.0,448.0,16.0,32.0,16.0,28.0,16.0,48.0,6.928203230275509,2.0,16.0,7168.0,448.0,256.0,14336.0,448.0,22.627416997969522,21.166010488516726,6.240275845170769,6.1070228877422545,200704.0,1024.0
csgmv,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 32, 32, 32, 32]",1.0,16,32,320,2,17.525760650634766,18.43003328323364,1.7021119877618323,512.0,320.0,512.0,320.0,16.0,32.0,16.0,20.0,16.0,48.0,6.928203230275509,2.0,16.0,5120.0,320.0,256.0,10240.0,320.0,22.627416997969522,17.88854381999832,6.240275845170769,5.771441123130016,102400.0,1024.0
csgmv,"[16, 16, 16, 16, 16, 16, 16, 16, 64, 64, 64, 64, 64, 64, 64, 64]",1.0,16,64,640,2,17.764368057250977,18.62452640533447,1.5648508530646241,1024.0,640.0,1024.0,640.0,16.0,64.0,16.0,40.0,16.0,576.0,24.0,4.0,48.0,10240.0,640.0,256.0,40960.0,640.0,32.0,25.298221281347036,6.932447891572509,6.46302945692067,409600.0,4096.0
csgmv,"[16, 16, 16, 16, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",1.0,16,64,832,2,17.795071601867676,18.301683464050292,1.3664112127106873,1024.0,832.0,1024.0,832.0,16.0,64.0,16.0,52.0,16.0,432.0,20.784609690826528,4.0,48.0,13312.0,832.0,256.0,53248.0,832.0,32.0,28.844410203711913,6.932447891572509,6.725033642166843,692224.0,4096.0
